record_name,ref_name
"Воздуховод гибкий, Ø 160 мм Sonodec 25 DEC или аналог","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 200 мм Sonodec 25 DEC или аналог","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 250 мм Sonodec 25 DEC или аналог","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 125 мм Sonodec 25 DEC","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 160 мм Sonodec 25 DEC","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 250 мм Sonodec 25 DEC","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 100 мм Sonodec 25 DEC","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 200 мм Sonodec 25 DEC","Воздуховоды алюминиевые гибкие гофрированные, класс Н, тип ВАГГ, диаметр 100 мм"
"Воздуховод гибкий, Ø 100 мм Sonodec 25 DEC или аналог","Воздуховоды звукопоглощающие теплоизолированные гибкие, диаметр 102 мм"
"Воздуховод гибкий, Ø 125 мм Sonodec 25 DEC или аналог","Воздуховоды звукопоглощающие теплоизолированные гибкие, диаметр 102 мм"
"Воздуховод гибкий, Ø 160 мм Sonodec 25 DEC или аналог","Воздуховоды звукопоглощающие теплоизолированные гибкие, диаметр 102 мм"
"Воздуховод гибкий, Ø 200 мм Sonodec 25 DEC или аналог","Воздуховоды звукопоглощающие теплоизолированные гибкие, диаметр 102 мм"
"Воздуховод гибкий, Ø 250 мм Sonodec 25 DEC или аналог","Воздуховоды звукопоглощающие теплоизолированные гибкие, диаметр 102 мм"
"Саморез кровельный цинк с шайбой 5,5х32 200шт уп","Воронка водосборная из оцинкованной стали для водосточных систем, диаметр 350/150 мм"
"Саморез кровельный 4,8*35 RAL 5005","Воронка водосборная металлическая для водосточных систем, покрытие полиэстер, диаметр 350/150 мм"
Техническая пленка 100мкм(3х100),"Воск полиэтиленовый, неокисленный"
Выключатель наружной установки с задней стенкой двухклавишный 16А,"Выключатели двухклавишные для открытой проводки, марка А16-007 с подсветкой, цвет белый"
Выключатель наружной установки с задней стенкой одноклавишный 16А,"Выключатели двухклавишные для открытой проводки, марка А16-007 с подсветкой, цвет белый"
Выключатель 1-клавишный ОП 10А,"Выключатели двухклавишные для открытой проводки, марка А16-007 с подсветкой, цвет белый"
Выключатель 1-клавишный ОП 10А,"Выключатели двухклавишные для открытой проводки, марка А16-007 с подсветкой, цвет белый"
Выключатель 2-клавишный ОП 10А белый,"Выключатели двухклавишные для открытой проводки, марка А16-007 с подсветкой, цвет белый"
Выключатель наружной установки с задней стенкой двухклавишный 16А,"Выключатели двухклавишные для открытой проводки, марка А16-007 с подсветкой, цвет белый"
"Автоматический выключатель ВА 47-29, 3P 63А","Выключатель автоматический 1P, 63А, 4,5 кА, характеристика C"
Автоматический выключатель 3Р С63А,"Выключатель автоматический 1P, 63А, 4,5 кА, характеристика C"
"Автоматический выключатель ВА 47-29, 3P 63А","Выключатель автоматический 1P, 63А, 4,5 кА, характеристика C"
Авт. выкл. DZ66-63/3P 63A,"Выключатель автоматический 1P, 63А, 4,5 кА, характеристика C"
"Автоматический выключатель ВА 47-29, 3P 32А","Выключатель автоматический 2P, 32А, 4,5 кА, характеристика B"
Автоматический выключатель 3Р С32А,"Выключатель автоматический 2P, 32А, 4,5 кА, характеристика B"
Выключатель автоматический в модульном корпусе 1 п В 32А 6кА EKF,"Выключатель автоматический 2P, 32А, 4,5 кА, характеристика B"
Авт. выкл. ADB3-63/3P 32A,"Выключатель автоматический 2P, 32А, 4,5 кА, характеристика B"
"Автоматический выключатель ВА 47-29, 3P 32А","Выключатель автоматический 2P, 32А, 4,5 кА, характеристика B"
Автоматический выключатель 3Р С100А,"Выключатель автоматический, трехполюсный, на ток 100 А"
Авт. выкл. ADB3-63/1P 25A,"Выключатель автоматический, трехполюсный, на ток 100 А"
Авт. выкл. ADB3-63/3P 32A,"Выключатель автоматический, трехполюсный, на ток 100 А"
Авт. выкл. ADB3-63/3P 40A 6kA,"Выключатель автоматический, трехполюсный, на ток 100 А"
Автоматический выключатель трехполюсный С100А,"Выключатель автоматический, трехполюсный, на ток 100 А"
Автоматический выключатель трехполюсный С160А,"Выключатель автоматический, трехполюсный, на ток 100 А"
Автоматический выключатель трехполюсный С250А,"Выключатель автоматический, трехполюсный, на ток 100 А"
Автоматический выключатель трехполюсный С320А,"Выключатель автоматический, трехполюсный, на ток 100 А"
"Автоматический выключатель, 16А, 1п ВА103-1P-016A-C DEKraft","Выключатель автоматический, трехполюсный, на ток 100 А"
Автоматический выключатель 3Р С100А,"Выключатель автоматический, трехполюсный, на ток 100 А"
Выключатель автоматический в литом корпусе Зп 125А 20кА GENERICA,"Выключатель автоматический, трехполюсный, на ток 100 А"
Авт. выкл. ADB3-63/3P 40A 6kA,"Выключатель автоматический, трехполюсный, на ток 100 А"
Автоматический выключатель трехполюсный С250А,"Выключатель автоматический, трехполюсный, на ток 100 А"
"Автоматический выключатель, 25А, 3п ВА103-3P-025A-C DEKraft","Выключатель автоматический, трехполюсный, на ток 100 А"
"Выключатель автоматический 1-пол.  16A C 4,5кА ВА47-29 IEK","Выключатель автоматический, трехполюсный, на ток 100 А"
Выключатель наружной установки с задней стенкой одноклавишный 16А,"Выключатель открытого монтажа, одноклавишный, 10 А, цвет белый, IP20"
Выключатель наружной установки с задней стенкой двухклавишный 16А,"Выключатель открытого монтажа, одноклавишный, 10 А, цвет белый, IP20"
Выключатель наружной установки с задней стенкой одноклавишный 16А,"Выключатель открытого монтажа, проходной, одноклавишный, цвет белый, IP20"
Выключатель наружной установки с задней стенкой одноклавишный 16А,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20"
Выключатель 1-клавишный ОП 10А,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20"
Выключатель наружной установки с задней стенкой двухклавишный 16А,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20"
Выключатель 2-клавишный ОП 10А белый,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20"
Выключатель 1-клавишный ОП 10А,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20"
Гайка М10х40 (для щита),"Гайки стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М20"
Гайка шестигранная М8,"Гайки стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М20"
Гайка оц. DIN 934 М12,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М14,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М12,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М14,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М12,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М14,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М14,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М12,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М16,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)"
Болты М16 класс прочности 8.8 (болта+ гайка),"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)"
Гайка оц. DIN 934 М16,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)"
Гайка оц. DIN 934 М16,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)"
Гайка M20,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М20 (М22)"
Гайка М10х40 (для щита),"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайки М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка М10х40 (для щита),"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка шестигранная М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
"Хомут стандартный с упл. 1/2"" (20-24), М8","Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
"Хомут стандартный с упл. 2"" (59-66), М8","Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Шайба М10,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Шайба оц. DIN 125 М8,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М12,"Гайки стальные шестигранные, диаметр резьбы М12 (М14)"
Гайка оц. DIN 934 М14,"Гайки стальные шестигранные, диаметр резьбы М12 (М14)"
Гайка М16,"Гайки стальные шестигранные, диаметр резьбы М16 (М18)"
Гайка оц. DIN 934 М16,"Гайки стальные шестигранные, диаметр резьбы М16 (М18)"
Гайка оц. DIN 934 М8,"Гайки стальные шестигранные, диаметр резьбы М6"
Гайка оц. DIN 934 М10,"Гайки стальные шестигранные, диаметр резьбы М6"
"Гайка шестигранная М4 DIN 934 цинк, пакет (ул.50шт) Tech-Krep 103023","Гайки стальные шестигранные, диаметр резьбы М6"
Гайки М10,"Гайки стальные шестигранные, диаметр резьбы М6"
Гайка М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М8,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайки М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М10х40 (для щита),"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М10х40 (для щита),"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М8,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М8 СОЭМИ Н0115182000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка М8,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Гайка оц. DIN 934 М10,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)"
Геотекстиль термообработанный иглопробивной ТехноНиколь 300г/м2,"Геополотно нетканое полипропиленовое, иглопробивное, прочность при растяжении 12,2/9,9 кН/м, поверхностная плотность 300 г/м2"
Геотекстиль игл. 200 г/м2 3*50м (рулон 30кг/150м2),"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2"
Геотекстиль термообработанный иглопробивной ТехноНиколь 300г/м2,"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2"
Геотекстиль термообработанный иглопробивной - 1 слой ТехноНиколь 300г/м2 или аналог,"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2"
Геотекстиль для дорожного покрытия 200 г/м,"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2"
Базальтовая сетка с ячейкой 25х25мм,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м"
Базальтовая сетка с ячейкой 25х25мм,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м"
Базальтовая сетка с ячейкой 25х25мм,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м, размеры ячейки 25х25 мм"
Базальтовая сетка с ячейкой 25х25мм,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м, размеры ячейки 25х25 мм"
Базальтовая сетка с ячейкой 25х25мм,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м, размеры ячейки 25х25 мм"
Геотекстиль для дорожного покрытия 200 г/м,"Геотекстиль нетканый из полиэфирного волокна, иглопробивной, поверхностная плотность 100 г/м2"
Геотекстиль для дорожного покрытия 200 г/м,"Геотекстиль нетканый из полиэфирного волокна, иглопробивной, поверхностная плотность 100 г/м2"
Битумно-полимерный герметик ТехноНИКОЛЬ№ 42 (ТУ 5772-009-72746455-2007),"Герметик битумно-полимерный однокомпонентный горячего применения для устройства деформационных швов на ответственных участках искусственных покрытий аэродромов, температура размягчения не ниже +80 °C, температура гибкости не выше -25 °C"
PENOSIL Premium FireStop Silicone Силиконовый герметик,"Герметик противопожарный акриловый для заделки швов примыкания стен, перекрытий, отверстий при прокладке негорючих трубопроводов, подверженных деформациям до 10 % в процессе эксплуатации, объем 310 мл"
Клей для плитки для наружных и внутренних работ_(25 кг),"Герметик-клей высыхающий пастообразный на органических растворителях для герметизации радиоприборов, крепления радиоэлементов, жгутов, проводов, диапазон рабочих температур от -70 до +85 °C"
Шумоглушитель трубчатый  ГТК 100-600 Вентзащита,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг"
Шумоглушитель трубчатый Sonodec 25  ГТК 125-600  Вентзащита,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг"
Шумоглушитель трубчатый  ГТК 100-600 Вентзащита,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг"
Шумоглушитель трубчатый Sonodec 25  ГТК 125-600  Вентзащита,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг"
Шумоглушитель трубчатый  ГТК 100-600 Вентзащита,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг"
Шумоглушитель трубчатый Sonodec 25  ГТК 125-600  Вентзащита,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг"
Головка пожарная переходная 50х80,"Головка соединительная напорная для соединения напорных пожарных рукавов между собой и с пожарным оборудованием, переходная ГП-70х50"
Головка пожарная переходная 50х80,"Головка соединительная напорная для соединения напорных пожарных рукавов между собой и с пожарным оборудованием, переходная ГП-70х50"
керамзитового гравия М250 ф10-20,"Гравий керамзитовый М 250, фракция 5-10 мм"
керамзитового гравия М250 ф10-20,"Гравий керамзитовый М 250, фракция 5-10 мм"
керамзитового гравия М250 ф10-20,"Гравий керамзитовый М 250, фракция 5-10 мм"
Гравий смеси фракции св.20 до 40 мм,"Гравий М 400-1000, фракция 5(3)-10 мм"
Гравий фракции от 5(3) до 20 мм,"Гравий М 400-1000, фракция 5(3)-10 мм"
Грунтовка Ceresit CT 17 или аналог,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
Грунтовка Ceresit CT 17 или аналог,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
Грунтовка глубокого проникновения,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
Грунтовка Ceresit CT 17 или аналог,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
"Грунтовка Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
Грунтовка Ceresit CT 17 или аналог,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей
Грунтовка Ceresit CT 17 или аналог,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая"
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог","Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая"
"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог","Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая"
Грунтовка Ceresit CT 17 или аналог,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая"
Грунтовка 044 EUROPRIMER MULTI или аналог,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая"
Краска эмаль ПФ 115 (серая),"Грунт-эмаль антикоррозионная быстросохнущая, трехслойное покрытие по ржавчине, цвет серый"
"Трубопровод стальной электросварной ∅426x6,0 (3 м) 10704/10705","Грязевик из стальных электросварных и водогазопроводных труб, наружный диаметр входного патрубка 45 мм, наружный диаметр корпуса 219 мм"
Двутавр 20Б1 двутавры стальные горячекатаные с параллельными гранями полок ГОСТ Р 57837-2017 С255-4 ГОСТ 27772-2015 ГОСТ Р 57837-2017,"Двутавры с параллельными гранями полок, марки стали Ст3сп, Ст3пс, № 20К-40К"
"дорожные плиты ПД-30.17,5.1","Делиниатор (сепаратор дорожный), длина 500-1000 мм, ширина 200-250 мм, высота 90-100 мм"
Клемма крепежная для проволоки 5001 N-FT,Держатели пластмассовые с защелкой для труб диаметром 25 мм
"Хомут на металл. трубы, D80-160 мм NG3001 DKC",Держатели пластмассовые с защелкой для труб диаметром 25 мм
Крепление для труб ППР d20 мм с защелкой,Держатели пластмассовые с защелкой для труб диаметром 25 мм
Крепление для труб ППР d25 мм с защелкой,Держатели пластмассовые с защелкой для труб диаметром 25 мм
Крепление для полипропиленовых d=32,Держатели пластмассовые с защелкой для труб диаметром 25 мм
"Опора ОККс коническая, складывающаяся Аллея, с кронштейном под один прожектор, H=6м ОККс 8 САРОС или аналог","Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 108 мм, размер фланца 190 мм, диаметр отверстий крепежных элементов 16 мм, высота закладной 1000 мм"
Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 108 мм, размер фланца 190 мм, диаметр отверстий крепежных элементов 16 мм, высота закладной 1000 мм"
Трубчатый закладной элемент для опоры ОККс Аллея TP6 САРОС или аналог,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 168 мм, размер фланца 224 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 1500 мм"
Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 168 мм, размер фланца 224 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 1500 мм"
"Опора круглая коническая ОКК ПРОСПЕКТ, высотой 9 м PSKT-90 САРОС или аналог","Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 168 мм, размер фланца 224 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 800 мм"
Трубчатый закладной элемент для опоры ОККс Аллея TP6 САРОС или аналог,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм"
Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм"
Трубчатый закладной элемент для опоры ОККс Аллея TP6 САРОС или аналог,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм"
Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм"
антиморозная добавка в раствор кирпича,"Добавка жидкая на основе полимерсиликата для минеральной силикатизированной двухкомпонентной смеси, компонент B"
антиморозная добавка в раствор кирпича,"Добавка жидкая на основе полимерсиликата для минеральной силикатизированной двухкомпонентной смеси, компонент B"
100х100х6000 брус,"Доска для покрытия полов шпунтованная из древесины хвойных пород, толщина 27 мм, ширина без гребня 100-140 мм"
50х100х6000 брус,"Доска для покрытия полов шпунтованная из древесины хвойных пород, толщина 27 мм, ширина без гребня 100-140 мм"
150х20х6000 доска,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
Доска профилированная 50x100,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
Доска 15mm х 150mm х 6000mm,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
Доска профилированная 50x200  6м,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
150х20х6000 доска,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
Доска обрезная 25x150x6000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
50Х100Х6000 ДОСКА,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
50х100х6000 брус,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
брус 50х200х6000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
50х100х6000 брус,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
"Доска профилированная 50x200 (шт), сухой","Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
"Брус 50-100-6м пиломатериал обрезной из ели, консервированный, антисептированный","Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
Доска профилированная 50x200 (шт) 6м,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
"Доска профилированная обрезная 25x150мм 6м (0,0225 м3)","Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
150х20х6000 доска,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I"
Доска 25mm х 150mm х 6000mm,"Доска террасная вельвет из лиственницы, толщина 27 мм, ширина 140-190 мм, длина 2-4 м, сорт А"
Воздушный клапан с площадкой под эл.привод КВК-100М Арктос,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм"
