x;y
Добавка композиционная модифицирующая асфальтобетонные смеси на основе активного порошка дискретно девулканизованной резины получаемая методом высокотемпературного сдвигового измельчения шинной резины в роторном диспергаторе;Композиционная модифицирующая добавка на основе дискретно девулканизованной резины м (Akfix C (шт в упк))
Фиброволокно полипропиленовое строительное для армированной стяжки;Полипропиленовое строительное фиброволокно м (Technonicol)
Модификатор асфальтобетонных смесей резиновый комплексный на основе мелкодисперсного активного резинового порошка;Резиновый комплексный модификатор асфальтобетонных смесей м (Akfix C (шт в упк))
Пленка полиэтиленовая армированная;Армированная полиэтиленная пленка м (Akfix C (шт в упк))
Порошок оксида магния массовая доля MgO не менее;Магний оксид порошок м (Chint)
Кольцо графитовое уплотнительное диаметр мм;Графитовое уплотнительное кольцо диаметр мм (Akfix C (шт в упк))
Прокладка уплотнительная из пороизола диаметр мм;Пороизоляционная уплотнительная прокладка диаметр мм (Akfix C (шт в упк))
Прокладки резиновые уплотнительные для профилей алюминиевых ширина мм;Алюминиевые резиновые уплотнительные прокладки ширина мм (Akfix C (шт в упк))
Припой серебряный проволока ПСр толщина мм;Серебряный проволочный припой толщиной мм (Akfix C (шт в упк))
Средство для чистки экранов;Экранчист м (Akfix C (шт в упк))
Жидкость моющая универсальная для очистки и промывки инженерных мостовых сооружений;Универсальная моющая жидкость для мостовых сооружений м (Akfix C (шт в упк))
Тальк молотый ТМК;Молотый тальк ТМК м (Akfix C (шт в упк))
Уголь активированный типа АГ;Активированный уголь типа АГ м (Akfix C (шт в упк))
Шнур чулок лавсановый диаметр мм;Лавсановый шнур чулок диаметр мм (Akfix C (шт в упк))
Шнур чулок стеклянный диаметр мм;Стеклянный шнур чулок диаметр мм (Akfix C (шт в упк))
Изделия прокладки пенополиэтиленовые теплоизоляционные из эластичного пенопласта с мелкозакрытопористой структурой для уплотнения стыков сборных элементов ограждающих конструкций сечение круглое сплошное диаметр мм;Теплоизоляционные прокладки из эластичного пенопласта диаметр мм (Akfix C (шт в упк))
Шнур водорасширяющийся из бентонитовой глины с каучуком для герметизации и гидроизоляции швов сопряжений бетонных и железобетонных конструкций;Водорасширяющийся шнур из бентонитовой глины и каучука для герметизации и гидроизоляции швов диаметр мм (Akfix C (шт в упк))
Шпонки гидроизоляционные таракан из ПВХ для деформационных и рабочих швов;Гидроизоляционные тараканки из ПВХ для деформационных и рабочих швов диаметр мм (Akfix C (шт в упк))
Балка шапочная шпунтового профиля поливинилхлоридная длина до мм прочность при растяжении не менее МПа размер х мм;Шапочная шайба шпунтового профиля из ПВХ размер х мм (Akфийл)
Адаптер переноса данных универсальный считывание информации с теплосчетчиков промежуточное хранение и передачу на ПК;Универсальный переносной адаптер для считывания информации с теплосчетчиков и передачи на ПК (Akfix C (шт в упк))
Аквадистиллятор электрический аптечный производительность л час холодной или горячей C очищенной воды расход воды на охлаждение дм ч в составе ТЭНы размеры x x мм;Аквадистиллятор электрический аптечный производительность л час холодной или горячей C очищенной воды расход воды на охлаждение дм ч в составе ТЭНы размеры x x мм (Akfix C (шт в упк))
Блок выпрямителя защищенный выходное напряжение постоянного тока до В ток нагрузки не более А размеры x x мм;Защищенный выпрямитель постоянного тока до В ток нагрузки не более А размеры x x мм (Akfix C (шт в упк))
Ванна винипластовая для промывки аккумуляторных батарей со сливом и решеткой материал полипропилен стенка мм в комплекте размеры x x мм;Винипластовая ванна для промывки аккумуляторных батарей с сливом и решеткой размеры x x мм (Akfix C (шт в упк))
Дефектоскоп вихретоковый для поиска поверхностных и подповерхностных дефектов в металле в составе;Вихретоковый дефектоскоп для поиска поверхностных и подповерхностных дефектов в металле размеры x x мм
Дефектоскоп ультразвуковой для контроля зон сварки в составе;Ультразвуковой дефектоскоп для контроля зон сварки размеры x x мм
Измеритель полного сопротивления линии контура и параметров УЗО;Измеритель полного сопротивления линии контура и параметров УЗО размеры x x мм
Комплект выносной количество проводных линий для связи с АГО напряжение питания от АГО В размеры x x мм;Комплект выносной количество проводных линий для связи с АГО напряжение питания от АГО В размеры x x мм (Akfix C (шт в упк))
Преобразователь индикаторный скорости воздуха;Индикатор скорости воздуха размеры x x мм
Прибор для проверки и регулировки фар высота оптической оси мм;Прибор для проверки и регулировки высоты оптической оси размеры x x мм
Прибор звуковой сигнализации напряжение питания В ток потребление не более мА размеры x x мм;Звуковой сигнализатор напряжение питание В ток потребление не более мА размеры x x мм (Akfix C (шт в упк))
Приемник путевой универсальный с комплектом заглушек ;Универсальный путевой приемник с комплектом заглушек размеры x x мм
Ремень клиновой резиновый профильный С В;Клиновой резиновый профильный ремень размеры x x мм
Сита набор для определения гранулометрического состава магнитного порошка в дефектоскопии;Набор сит для определения гранулометрического состава магнитного порошка в дефектоскопии размеры x x мм
Сопротивление регулируемое номинальное сопротивление Ом номинальный ток А диаметр проволоки мм длина проволоки мм размеры x x мм;Регулируемое сопротивление номинальное Ом номинальный ток А диаметр проволоки мм длина проволоки мм размеры x x мм (Akfix C (шт в упк))
Статив релейный двусторонний размеры x x мм в составе рамки шт панели шт заглушки шт;Релейный статив двусторонний размеры x x мм в составе рамки шт панели шт заглушки шт (Akfix C (шт в упк))
Терминал интеллектуальный для централизованного управления с программным обеспечением напряжение В Гц;Интеллектуальный терминал для централизованного управления с программным обеспечением напряжение В Гц размеры x x мм
Устройство для защиты от взрыва не более г ТНТ размеры x x мм;Устройство для защиты от взрыва не более г ТНТ размеры x x мм (Akfix C (шт в упк))
Устройство эталонного времени напряжение В амплитуда сигналов установки и контроля В длительность сигналов установки и контроля мс корпус IP ГОСТ размеры x x мм;Устройство эталонного времени напряжение В амплитуда сигналов установки и контроля В длительность сигналов установки и контроля мс корпус IP ГОСТ размеры x x мм (Akfix C (шт в упк))
Фильтр дуплексный дуплексер узкополосный;Дуплексный дуплексер узкополосный размеры x x мм
Добавка армирующая на основе полипропиленовых волокон для растворов и бетонов;Армирующая добавка на основе полипропилена для растворов и бетонов размеры x x мм
Добавка ПАВ катионного типа ПБ ;Катионная добавка ПАВ ПБ размеры x x мм
Материал эластомерный многокомпонентный на полиуретановой основе полимерный бетон для устройства и ремонта деформационных швов компонент A активатор ;Эластомерный многокомпонентный на полиуретановой основе полимерный бетон для устройства и ремонта деформационных швов компонент A активатор размеры x x мм
Пластификатор стабилизирующий и водоудерживающий для бетонных и растворных смесей;Стабилизирующий и водоудерживающий пластификатор для бетонных и растворных смесей размеры x x мм
Шахматочная машина для заливки бетонных смесей в отверстиях шпал и различных конструкций;Шахматочная машина для заливки бетонных смесей в отверстиях шпал и различных конструкций размеры x x мм
Шахта втулочная нажимная;Шахта втулочная нажимная размеры x x мм
Шахта тромбовая;Шахта тромбовая размеры x x мм
DIN-рейки металлические, оцинкованные, размеры мм;DIN -рейка оцинкованная см (Chint)
Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее кН;Анкерный элемент ТехноНиколь мм
Анкер металлический канатный, диаметр грузонесущего стержня мм, предельная несущая нагрузка не менее кН, длина мм;Анкерный стержень мм без покрытия м
Анкер химический двухкомпонентный на основе винилэстеровой смолы;Химический Анкер на основе полиэстра мл Akfix C (шт в упк)
Клей адгезив полимерный специальный для наклеивания ленты дила;Клей для ремонта и применения в строительстве (шт в упк)
Кобальт сернокислый II водный ЧДА;Кобальтный раствор для нержавеющей стали (шт в упк)
Пигмент сухой для красок сурик железный;Пигмент для красок (шт в упк)
Грунтовка концентрированная на силикатной основе с укрепляющим и выравнивающим действием на окрашенные или неокрашенные минеральные основы;Грунтовка для стен и полов (литр в упк)
Краска акриловая водоразбавляемая щелочестойкая фасадная матовая для бетонных и каменных поверхностей;Акриловая краска матовая для бетонных поверхностей (литр в упк)
Грунтовка силикатизирующая на основе малощелочных соединений кремневой кислоты для глубокого проникновения в основание для гидроизоляции и ремонта строительных сооружений;Грунтовка на основе кремневой кислоты для гидроизоляции (литр в упк)
Масло вазелиновое;Масло вазелиновое (литр в упк)
Бумага папиросная;Папиросная бумага (упк в пакете)
Карандаш для живописи;Акварельный карандаш (шт в упк)
Уголь молотый;Уголь для плиты (кг в упк)
Хлорид серебра;Серебряный раствор для полировки (шт в упк)
Хлеб пшеничный;Хлеб пшеничный (упк в пакете)
Желатин пищевой;Желатин пищевой (кг в упк)
Грунтовка полисилоксановая на водной основе укрепляющая гидрофобизирующая;Грунтовка полисилоксановая на основе воды (литр в упк)
Раствор травящий для оштукатуренных поверхностей на основе кремниевой кислоты без растворителей;Раствор для оштукатуренных поверхностей (литр в упк)
Смеси сухие на основе минеральных вяжущих и добавок для реставрационных работ;Смесь для реставрационных работ (кг в упк)
Шпатлевка минеральная с органическими стабилизаторами для внутренних работ;Шпатлевка минеральная с органичеskими стабилизаторами (литр в упк)
Смальта разного цвета;Смальта разного цвета (кг в упк)
Газ шелковый;Газ шелковый (упк в пакете)
Бензотриазол ;Бензотриазол (шт в упк)
Квасцы алюмокалиевые;Квасцы алюмокалиевые (кг в упк)
Перекись водорода ;Перекись водорода (литр в упк)
Пластилин скульптурный;Пластилин скульптурный (упк в упаковке)
Этиленгликоль;Этиленгликоль (литр в упк)
Шнур для сварки швов поливинилхлоридного линолеума;Шнур для сварки пвх линолеума (упк в пакете)
Проволока порошковая для сварки дуплексных нержавеющих сталей диаметр мм;Порошковая проволока для сварки дуплексных нержавеющих сталей (упк в пакете)
Проволока сварочная высоколегированная СВ Х Н М диаметр мм;Сварочная проволока высоколегированная (упк в пакете)
Пруток для сварки дуплексных нержавеющих сталей диаметр мм;Пруток для сварки нержавеющих сталей (упк в пакете)
Электроды сварочные АНО Э диаметр мм;Сварочные электроды АНО Э (упк в пакете)
Геотекстиль нетканый поверхностной плотностью г м;Нетканый геотекстиль поверхностной плотности (упк в пакете)
Геополотно тканое полипропиленовое кН м;Тканое геополотно полипропиленное (упк в пакете)
Георешетка тканая стеклянная дорожная для армирования асфальтобетонных слоев прочность при растяжении кН м ячейка мм ширина полотна см;Тканая стеклянная георешетка для асфальтобетонных слоев (упк в пакете)
Геосетка из базальтоволокна нитепрошивная пропитанная СБНП ;Нитепрошивная геосетка из базальтоволокна (упк в пакете)
Полипропилен марки ;Полипропилен марки (упк в пакете)
Полистирол блочный общего назначения ПСМ неокрашенный;Блочный полистирол ПСМ неокрашенный (упк в пакете)
Пенопласт полистирольный плиточный термоизоляционный;Пенопласт полистирольный плиточный (упк в пакете)
Реагент жидкий для кондиционирования грунтов тензид ;Жидкий реагент для кондиционирования грунтов (литр в упк)
Анкер распорный для высоких нагрузок с шестигранной головкой из оцинкованной углеродистой стали диаметр мм длина мм;Анкер распорный для высоких нагрузок (упк в пакете)
Анкер болтовой под высокие нагрузки оцинкованный для установки в бетон диаметр мм длина мм;Болтовый анкер для бетона (упк в пакете)
Коронки крестовые для анкерных штанг диаметр мм;Коронки крестовые для анкерных штанг (упк в пакете)
Анкер распорный латунный для установки в бетон диаметр мм длина мм внутренняя резьба мм;Латунный анкер распорный (упк в пакете)
Анкер со стопорным винтом M х А с гайкой фиксатором А диаметр мм;Анкер со стопорным винтом и гайкой фиксатора (упк в пакете)
Гайки стальные термоупрочненные М для крепления железобетонных плит безбалластного мостового полотна;Гайки стальные термоупрочненные для железобетонных плит (упк в пакете)
Гвозди винтовые x мм;Винтовые гвозди (упк в пакете)
Гвозди мебельные декоративные x мм;Мебельные декоративные гвозди (упк в пакете)
Гвозди проволочные круглые формовочные размер х мм;Проволочные круглые формовочные гвозди (упк в пакете)
Гвозди тарные круглые размер х мм;Тарные круглые гвозди (упк в пакете)
Заклепки комбинированные алюминий нержавеющая сталь широкий бортик x мм вытяжные;Комбинированные заклепки алюминий нержавеющая сталь (упк в пакете)
Скобы СК А;Скобы СК А (упк в пакете)
Скобы из нержавеющей стали в профили направляющие ск для навесных вентилируемых фасадов;Скобы из нержавеющей стали (упк в пакете)
Шайбы кузовные М;Шайбы для автомобильных кузовов
Шпильки;Шпильки для строительства
Шплинт оцинкованный диаметр мм;Оцинкованные шплинты
Шуруп строительный с потайной головкой;Шурупы строительные с потайной головкой
Детали деревянные лесов из пиломатериалов хвойных пород;Деревянные детали из хвойных пород
Сегмент для мозаично шлифовальной машины;Сегменты для мозаичной шлифовальной машины
Канат алмазный для дорезания черный диаметр мм;Алмазные кабели для дорезания
Круг алмазный отрезной диаметр мм;Алмазные отрезные круги
Круг шлифовальный А ПС КПГ м с А класс x x мм;Шлифовальные круги А ПС КПГ
Сверла трубчатые алмазные для сверления керамики и стекла диаметр мм с хвостовиком мм для сверления керамики стекла;Алмазные сверла для керамики и стекла
Зубило лопатка для перфоратора длина мм;Зубила для перфораторов
Сверла перьевые по дереву в наборе;Наборы перьевых сверл для дерева
Сверла победитовые ударные в наборе;Ударные победительные сверла в наборе
Сверла спиральные по дереву в наборе;Спиральные сверла для дерева в наборе
Фреза металлическая для врезки в газопровод диаметр мм;Металлические фрезы для газопроводов
Ленты шлифовальные бесконечные на тканевой основе водостойкие Р Р для паркетно шлифовальных машин размеры x мм;Бесконечные шлифовальные ленты на тканевой основе для паркетных шлифовалок
Лебедка ручная грузоподъемностью кг;Ручные лебедки для подъема грузов
Диски для очистки трубопроводов при санации из стали диаметр мм;Стальные диски для очистки трубопроводов
Поршень разделитель внутритрубный с чистящими дисками для труб условным диаметром мм;Разделительные поршни с чистящими дисками для труб
Устройство для опрессовки и продувки установок газового и водяного пожаротушения рабочее давление МПа;Опрессовка и продувка установок пожаротушения
Материал рулонный неокрашенный из газонаполненных пенополиолефинов толщина мм рабочий температурный интервал от С до С;Неокрашенные рулоны из газонаполненных пенополиолефинов
Комплект дополнительный для монтажа К контактный зажим шт изоляция м провод м упаковка;Дополнительный комплект для монтажа К контактных зажимов
Крошка гранитная керамика чистящая для обслуживания анализатора г;Гранитная керамическая крошка для чистки анализаторов
Рукава из высокопрочной полимерной пленки диаметр мм;Полимерные рукава
Кольцо нажимное для гидравлических устройств КН x;Нажимные кольца для гидравлических устройств
Манжеты резиновые;Резиновые манжеты
Рукав Г IV У для держателей к сварочным полуавтоматам;Рукав Г IV У для сварочных полуавтоматов
Рукав Г IV У для воздуха углекислого газа и других инертных газов;Рукав Г IV У для инертных газов
Рукав напорный для промывки буровых скважин диаметром мм давлением МПа кгс см;Напорные рукава для промывки скважин
Рукава резиновые напорно всасывающие с текстильным каркасом неармированные гофрированные класс В диаметр мм;Резиновые напорно-всасывающие рукавы
Рукава резиновые напорные с текстильным каркасом класс Б диаметр мм;Резиновые напорные рукавы
Рукав резинотканевый с металлическими спиралями диаметр мм;Резинотканевые спиральные рукавы
Рукава компонентные из нетканого материала диаметр мм;Компонентные нетканые рукавы
Шланг инъекционный для гидроизоляции рабочих швов в монолитных железобетонных конструкциях;Инъекционные шланги для гидроизоляции
Войлок строительный непропитанный;Строительный непропитанный войлок
Шпагат хлопчатобумажный;Хлопчатобумажный шпагат
Пряжа хлопчатобумажная;Хлопчатобумажная пряжа
Салфетки технические размером x см;Технические салфетки
Сукно;Сукно
Ткань хлопчатобумажная махровая белая поверхностная плотность г м;Хлопчатобумажная махровая белая ткань
Лента миткалевая хлопчатобумажная ширина мм;Миткалевая хлопчатобумажная лента
Лента полиэстеровая тканая ширина мм толщина мм;Полиэстерная тканая лента
Сетка стеклотканевая x мм плотность г м;Стеклотканевая сетка
Флоат стекло М бесцветное со стандартным коэффициентом пропускания света номинальная толщина мм;Бесцветный стеклотканевый флоат
Стекло листовое с низкоэмиссионным мягким покрытием незакаливаемое на основе бесцветного стекла со стандартным коэффициентом пропускания света нормальный коэффициент эмиссии коэффициент пропускания света не менее номинальная толщина мм;Незакаливаемое стекло с низкоэмиссионным мягким покрытием
Стеклопакеты из полированного стекла двухкамерные с одним тонированным стеклом площадью м м толщина стекла мм;Двухкамерные стеклопакеты с тонированным стеклом
Глина бентонитовая;Бентонитовая глина
Глина огнеупорная шамотная;Огнеупорная шамотная глина
Глина тугоплавкая;Тугоплавкая глина
Грунт плодородный;Плодородный грунт
Смесь битумно грунтовая с содержанием песчаного супесчаного грунта до;Грунтовая смесь с песком и гравием
Смесь грунтоцементная для песчаных супесчаных грунтов;Грунтоцементная смесь для песчаных супесчаных грунтов
Галька морская мозаичная плоская фракция мм;Мозаичная морская галька плоская фракция мм
Ракушки морские;Морские ракушки
Цеолит синтетический;Синтетический цеолит
Удаляемый герметизирующий компаунд для повторного сращивания кабеля;Герметизирующий компаунд для кабелей
Цеолит природный фракция мм;Природный цеолит фракция мм
Порошок минеральный для асфальтобетонных и органоминеральных смесей;Минеральный порошок для асфальтобетона и органоминеральных смесей
Смесь песчано гравийно щебеночная обогащенная с содержанием гравия и щебня из гравия не менее;Обогащенная щебеночно-песчаная смесь с гравием
Смесь щебеночно песчаная готовая щебень из плотных горных пород М номером смеси С размер зерен мм;Щебеночно-песчаная смесь готовая из плотных горных пород
Керамзит щебневидный М фракция мм;Щебневидный керамзит М фракция мм
Концентрат баритовый;Баритовый концентрат
Песок природный II класс очень тонкий круглые сита;Природный песок II класс очень тонкий
Песок из пористых горных пород вулканического происхождения фракция средняя;Вулканический песок из пористых горных пород фракция средняя
Песок из отсевов дробления II класс М мелкий круглые сита;Мелкий песок II класс от отсевов дробления
Песок кварцевый формовочный;Кварцевый формовочный песок
Смесь щебеночно песчаная готовая из шлаков черной металлургии М размер не более мм;Шлакопесчаная смесь готовая из черной металлургии
Вяжущие гипсовые прочие;Гипсовые вяжущие прочие
Гипс высокопрочный ГВВС;Высокопрочный гипс ГВВС
Гипсоцементно пуццолановое ГЦПВ;Гипсоцементно-пуццолановый ГЦПВ
Гипсоцементное известесодержащее ИВС;Гипсоцемент с известью ИВС
Известь гидратная;Гидратная известь
Известь строительная негашеная без добавок сорт;Негашеная строительная известь без добавок
Мука известняковая доломитовая;Известняковая доломитовая мука
Цемент М;Цемент М1
Портландцемент общестроительного назначения бездобавочный нормированный ПЦ Н;Портландцемент общестроительный бездобавочный нормированный ПЦ Н
Портландцемент общестроительный с добавлением шлака нормальнотвердеющий ЦЕМ II А Ш Н;Портландцемент с добавлением шлака ЦЕМ II A Ш Н
Цемент высокоглиноземистый ВГЦ I;Высокоглиноземистый цемент ВГЦ I
Шлакопортландцемент сульфатостойкий М ССШПЦ ЦЕМ III;Шлакопортландцемент сульфатостойкий М ССШПЦ ЦЕМ III
Портландцемент декоративный белый сорта М;Белый декоративный цемент Портланд М
Портландцемент декоративный зеленый М;Зеленый декоративный цемент Портланд М
Портландцемент тампонажный с минеральными добавками;Тампонажный цемент Портланд с минеральными добавками
Смеси бетонные легкого бетона БСЛ на пористых заполнителях средняя плотность D кг м крупность заполнителя мм класс В М;Легкий бетон БСЛ на пористых заполнителях
Смеси асфальтобетонные щебеночно мастичные ЩМА;Асфальтобетонные щебеночно-мастичные смеси ЩМА
Материал эластомерный многокомпонентный на полиуретановой основе полимерный бетон для устройства и ремонта деформационных швов компонент C наполнитель;Эластомерный материал для устройства и ремонта деформационных швов на основе полиуретана и полимерного бетона компонент C
Смеси сухие цементные наливные финишного покрытия полов толщина слоя мм класс B B М М быстротвердеющие;Сухие цементные смеси наливные финишного покрытия полов толщина слоя мм класс Б Б ММ быстротвердеющие
Цемент быстротвердеющий с минеральными добавками для остановки напорной течи изнутри шахт штолен и подвальных помещений;Быстротвердеющий цемент с минеральными добавками для остановки напорной течи
Наполнитель из среднезернистого минерала размер зерна до мм;Наполнитель из среднезернистого минерала с размером зерна до мм
Балка плита пролетных строений пешеходных мостов длиной до м бетон В М расход арматуры кг м;Балка плиты пролетных строений пешеходных мостов длиной до м, бетон В, М, расход арматуры кг/м
Балка перекрытий каналов Б бетон В М объем м расход арматуры кг;Балка перекрытий каналов, бетон В, М, объем м, расход арматуры кг
Балки стропильные для покрытия зданий с плоской и скатной кровлей пролетом м МБСП МБСО;Стропильные балки для покрытия зданий с плоской и скатной кровлей, пролет м, МБСП, МБСО
Колодцы телефонной канализации железобетонные МТК СТК;Железобетонные колодцы для телефонной канализации МТК, СТК
Лоток водоотводный из полимербетона с кантом из нержавеющей стали гидравлическим сечением мм размер х х мм класс нагрузки Е;Водоотводный лоток из полимербетона с нержавеющей стали, гидравлическое сечение мм, размер х х мм, класс нагрузки Е
Лоток водоотводной бетонный с чугунной решеткой гидравлическим сечением мм размер х х мм класс нагрузки D;Водоотводной бетонный лоток с чугунной решеткой, гидравлическое сечение мм, размер х х мм, класс нагрузки D
Плита перекрытия камеры мусороудаления бетон В М расход арматуры до кг м;Перекрытие камеры мусороудаления, бетон В, М, расход арматуры до кг/м
Плита железобетонная для экрана щита струеотклоняющего мобильного размер х х мм;Железобетонная плита для экрана щита струеотклоняющего мобильного, размер х х мм
Резервуар пожарный ПС x мм бетон В М объем м расход арматуры кг;Пожарный резервуар ПС, бетон В, М, объем м, расход арматуры кг
Плиты железобетонные стеновые траншей для хранения силоса;Железобетонные пластины стеновые траншей для хранения силоса
Плиты опорно анкерные П бетон объем м арматура кг;Опорные и анкерные плиты П бетон, объем м, расход арматуры кг
Тюбинг перегонов железобетонный нормальный смежный наружный диаметр м толщина мм расход арматуры кг м;Железобетонное перегонное тюбинг, нормальное, смежное, наружный диаметр м, толщина мм, расход арматуры кг/м
Брусья железобетонные для стрелочных переводов марки;Железобетонные плиты для стрелочных переводов
Звенья железобетонные водопропускных труб;Железобетонные кожухи для труб
Опоры железобетонные дорожных знаков;Железобетонные столбы для дорожных знаков
Стойка железобетонная вибрированная для опор;Железобетонные стойки для опор
Столбики для ограждения культурных пастбищ прямоугольные и трапецеидальные бетон;Железобетонные столбики для ограждений
Стойка строительная из оцинкованного стального профиля;Стальные стойки для строительства
Трубы бетонные прямоугольные двухотверстные;Железобетонные трубы прямоугольные
Изделия колонн в техподполье К бетон;Железобетонные колонны для техподполья
Перемычка балочная с четвертью ПГ бетон;Железобетонные перемычки
Прогоны КПД ПРГ бетон;Железобетонные прогоны
Балка железобетонная усиленная Б Б размер х х мм бетон;Железобетонные балки усиленные
Балки коробчатого сечения длиной до м массой до т бетон;Железобетонные балки коробчатого сечения
Диафрагмы жесткости Д бетон;Железобетонные диафрагмы
